route_id,date,weekday,week_number,driver_id,origin_barrio,lat_origin,lon_origin,barrios_recorridos,tipo_vehiculo,vehicle_capacity_m3,volumen_cargado_m3,carga_pct,n_paradas,n_paquetes,cliente_top_count,km_total,desviacion_km,velocidad_media_kmh,duracion_min,tiempo_conduccion_min,tiempo_paradas_min,tiempo_espera_deposito_min,tiempo_carga_min,n_incidentes,motivo_incidente,paquetes_no_entregados,porcentaje_entregas_exitosas,prioridad,entregas_retrasadas,clima,turno,estado_ruta,notas_logisticas,costo_est_operativo,eficiencia_carga_pct,tasa_exito_entregas
2045,2025-01-19,6,3,2,melchor romero,-34.948592,-57.983443,melchor romero; tolosa,camioneta,13,9.25,71.2,70,82,3,31.5,2.21,19.09,194,99,85,20,17,1,otro,2,97.56,baja,1,nublado,mañana,con_incidente,entrega parcial,28.26,71.2,97.56
2046,2025-08-08,4,31,6,villa elvira,-34.889606,-57.953921,villa elvira,furgoneta,8,5.05,63.1,81,88,5,28.8,0.0,246.86,192,7,185,0,23,0,nan,0,100.0,media,0,nublado,mañana,completa_ok,nan,25.84,63.1,100.0
2047,2025-06-04,2,22,3,city bell,-34.870047,-57.977538,city bell; gonnet; manuel b. gonnet,camion 3.5t,18,6.68,37.1,78,87,2,19.3,0.0,21.1,221,60,189,6,22,0,nan,0,100.0,baja,0,despejado,mañana,con_incidente,nan,30.82,37.1,100.0
2048,2025-11-06,3,44,6,tolosa,-34.921059,-57.950501,tolosa; gonnet; manuel b. gonnet,furgoneta,8,7.48,93.5,73,84,7,20.4,2.02,15.49,280,79,201,16,38,0,nan,0,100.0,media,1,nublado,mañana,con_incidente,nan,33.65,93.5,100.0
2049,2025-08-27,2,34,3,villa montoro,-34.895448,-57.950129,villa montoro; los hornos,furgoneta,8,6.05,75.6,85,96,8,27.9,0.0,11.79,287,142,145,0,24,0,nan,0,100.0,alta,0,despejado,mañana,con_incidente,nan,33.65,75.6,100.0
2050,2025-07-10,3,27,7,city bell,-34.873482,-57.976968,city bell; joaquin gorina,camioneta,13,6.29,48.4,78,88,8,22.8,0.7,17.27,236,90,195,5,36,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,34.59,48.4,100.0
2051,2025-12-31,2,52,1,altos de san lorenzo,-34.918575,-57.948612,altos de san lorenzo; joaquin gorina,camioneta,13,6.25,48.1,76,103,7,35.9,0.34,14.86,340,145,195,3,5,0,nan,0,100.0,baja,1,lluvia ligera,mañana,con_incidente,nan,41.74,48.1,100.0
2052,2025-11-06,3,44,6,melchor romero,-34.949892,-57.981106,melchor romero; villa elvira; villa montoro,furgoneta,8,7.7,96.2,83,96,4,27.1,0.4,325.2,207,5,219,9,34,0,nan,2,97.92,baja,1,despejado,mañana,parcial,devolver a depósito,26.73,96.2,97.92
2053,2025-07-08,1,27,1,tolosa,-34.920832,-57.95001,tolosa; manuel b. gonnet; gonnet,camioneta,13,7.83,60.2,77,92,8,9.0,1.47,4.21,247,144,122,20,36,0,nan,0,100.0,media,1,lluvia ligera,mañana,con_incidente,nan,29.93,60.2,100.0
2054,2025-09-06,5,35,5,villa elvira,-34.892779,-57.946622,villa elvira; la plata,camioneta,13,2.38,18.3,94,106,5,28.9,1.16,9.48,341,183,158,10,19,0,nan,0,100.0,alta,1,despejado,mañana,con_incidente,nan,40.9,18.3,100.0
2055,2025-08-30,5,34,4,gonnet,-34.931981,-57.923847,gonnet; ringuelet; lisandro olmos,camioneta,13,4.31,33.2,85,109,8,23.7,0.19,11.11,268,128,140,22,42,0,nan,2,98.17,baja,1,despejado,mañana,parcial,devolver a depósito,33.25,33.2,98.17
2056,2025-12-25,3,51,5,los hornos,-34.91477,-57.988925,los hornos; melchor romero; la plata,camioneta,13,7.16,55.1,83,98,12,23.5,0.96,7.79,302,181,121,14,32,0,nan,1,98.98,media,1,despejado,mañana,parcial,reintentar mañana,37.35,55.1,98.98
2057,2025-06-28,5,25,6,abasto,-34.819558,-57.922832,abasto; el peligro,furgoneta,8,5.07,63.4,85,104,9,19.1,0.52,34.73,211,33,178,1,18,0,nan,3,97.12,media,1,despejado,mañana,parcial,devolver a depósito,25.7,63.4,97.12
2058,2025-09-22,0,38,1,el carmen,-34.837799,-57.900406,el carmen; villa san carlos,furgoneta,8,6.82,85.2,83,93,9,21.3,1.12,29.72,264,43,221,0,10,0,nan,1,98.92,media,1,despejado,mañana,parcial,entrega parcial,34.37,85.2,98.92
2059,2025-03-01,5,8,4,la plata,-34.921305,-57.950483,la plata; los hornos,furgoneta,8,7.84,98.0,88,108,9,30.4,0.39,76.0,239,24,215,6,26,0,nan,0,100.0,media,0,nublado,mañana,completa_ok,nan,29.45,98.0,100.0
2060,2025-02-03,0,5,4,villa elisa,-34.911727,-57.978761,villa elisa; city bell; tolosa,furgoneta,8,6.1,76.2,74,91,2,14.1,1.93,12.44,189,68,121,4,33,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,25.6,76.2,100.0
2061,2025-06-20,4,24,3,gonnet,-34.93416,-57.926589,gonnet; ringuelet,furgoneta,8,7.04,88.0,73,85,6,27.0,0.08,13.61,253,119,134,0,29,0,nan,0,100.0,alta,0,despejado,mañana,con_incidente,nan,32.23,88.0,100.0
2062,2025-06-11,2,23,6,ringuelet,-34.943217,-57.932127,ringuelet; tolosa,camioneta,13,3.31,25.5,99,114,12,24.8,2.03,9.99,288,149,139,3,25,0,nan,0,100.0,media,0,lluvia ligera,mañana,completa_ok,nan,34.1,25.5,100.0
2063,2025-05-04,6,18,6,city bell,-34.873786,-57.981389,city bell; gonnet,furgoneta,8,5.33,66.6,63,76,9,19.7,1.58,21.49,185,55,130,5,28,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,23.12,66.6,100.0
2064,2025-05-19,0,20,4,los hornos,-34.920002,-57.995383,los hornos; villa elvira,camion 3.5t,18,7.87,43.7,76,86,3,20.8,0.0,6.64,312,188,124,16,36,0,nan,1,98.84,media,1,lluvia ligera,mañana,parcial,devolver a depósito,36.71,43.7,98.84
2065,2025-04-30,2,17,7,la plata,-34.919478,-57.94969,la plata; villa elisa; city bell,camioneta,13,5.41,41.6,77,84,7,14.3,1.79,10.73,207,80,117,3,32,1,otro,0,100.0,media,0,nublado,mañana,con_incidente,incidente resuelto,25.71,41.6,100.0
2066,2025-10-26,6,43,4,berisso,-34.855532,-57.870731,berisso; el carmen,camion 3.5t,18,5.99,33.3,82,94,8,39.7,0.0,12.47,425,180,194,1,15,0,nan,2,97.87,media,1,despejado,mañana,parcial,contactar cliente,47.99,33.3,97.87
2067,2025-08-01,4,30,2,tolosa,-34.923843,-57.954167,tolosa; la plata,furgoneta,8,4.49,56.1,82,95,2,32.1,0.0,20.27,314,95,219,3,10,0,nan,0,100.0,alta,1,nublado,mañana,con_incidente,nan,37.51,56.1,100.0
2068,2025-04-09,2,14,5,city bell,-34.87254,-57.975586,city bell; joaquin gorina,camioneta,13,7.43,57.2,74,89,5,15.0,0.0,180.0,148,5,168,14,19,0,nan,1,98.88,alta,1,despejado,mañana,parcial,devolver a depósito,20.43,57.2,98.88
2069,2025-02-12,2,6,2,abasto,-34.822362,-57.92553,abasto; lisandro olmos,camioneta,13,6.16,47.4,78,89,6,31.7,0.0,16.83,276,113,163,11,38,0,nan,1,98.88,alta,1,despejado,mañana,parcial,contactar cliente,37.33,47.4,98.88
2070,2025-03-29,5,12,4,altos de san lorenzo,-34.927361,-57.948662,altos de san lorenzo; villa elisa; abasto,furgoneta,8,7.52,94.0,76,95,3,41.1,1.17,13.78,282,179,103,0,34,0,nan,3,96.84,media,1,despejado,mañana,parcial,devolver a depósito,36.72,94.0,96.84
2071,2025-06-03,1,22,6,villa elvira,-34.891576,-57.948187,villa elvira; la plata,camioneta,13,6.16,47.4,76,88,3,23.3,1.37,8.42,296,166,130,3,42,0,nan,1,98.86,media,1,tormenta,mañana,parcial,entrega parcial,37.21,47.4,98.86
2072,2025-03-02,6,9,1,ringuelet,-34.947728,-57.922864,ringuelet; manuel b. gonnet,camioneta,13,4.2,32.3,87,100,4,17.5,2.06,131.25,227,8,219,2,27,0,nan,0,100.0,media,0,tormenta,mañana,completa_ok,nan,27.74,32.3,100.0
2073,2025-04-29,1,17,7,villa montoro,-34.898341,-57.952763,villa montoro; ringuelet; gonnet; city bell,furgoneta,8,7.84,98.0,79,92,6,28.9,0.0,16.67,303,104,199,0,34,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,36.63,98.0,100.0
2074,2025-07-29,1,30,5,ringuelet,-34.945831,-57.929169,ringuelet; gonnet,camioneta,13,5.26,40.5,73,80,6,11.1,0.38,6.87,219,97,122,2,16,0,nan,0,100.0,media,0,despejado,mañana,con_incidente,nan,26.6,40.5,100.0
2075,2025-03-14,4,10,3,gonnet,-34.934615,-57.924223,gonnet; city bell,camioneta,13,8.02,61.7,74,83,9,21.1,0.0,20.03,231,65,192,1,31,0,nan,0,100.0,media,1,despejado,mañana,parcial,reintentar mañana,31.42,61.7,100.0
2076,2025-04-29,1,17,3,joaquin gorina,-34.875125,-57.937336,joaquin gorina; city bell,camioneta,13,5.2,40.0,86,99,10,20.5,1.78,34.17,273,36,237,10,21,0,nan,0,100.0,media,0,despejado,mañana,con_incidente,nan,34.42,40.0,100.0
2077,2025-05-04,6,18,2,villa montoro,-34.898057,-57.94933,villa montoro; villa elvira,camioneta,13,7.65,58.8,83,93,7,22.2,1.05,15.49,276,86,190,1,21,0,nan,2,97.85,media,1,nublado,mañana,parcial,devolver a depósito,33.75,58.8,97.85
2078,2025-05-13,1,19,5,gonnet,-34.938697,-57.925149,gonnet; manuel b. gonnet; ringuelet,camion 3.5t,18,6.88,38.2,88,103,6,23.2,1.05,7.29,355,191,164,0,41,0,nan,0,100.0,media,1,viento fuerte,mañana,con_incidente,nan,44.05,38.2,100.0
2079,2025-11-03,0,44,3,city bell,-34.87352,-57.974447,city bell; joaquin gorina; gonnet,furgoneta,8,4.43,55.4,76,92,4,31.3,0.53,58.69,198,32,166,0,23,0,nan,1,98.91,alta,1,viento fuerte,mañana,parcial,contactar cliente,26.7,55.4,98.91
2080,2025-04-04,4,13,4,tolosa,-34.917897,-57.952331,tolosa; villa montoro; villa elvira,camioneta,13,6.14,47.2,83,111,7,33.9,2.42,19.37,331,105,226,2,22,0,nan,0,100.0,media,1,nublado,mañana,con_incidente,nan,42.56,47.2,100.0
2081,2025-08-03,6,31,3,el peligro,-34.831318,-57.910858,el peligro; abasto,camion 3.5t,18,7.54,41.9,89,102,8,34.1,0.0,9.98,324,205,119,5,30,0,nan,0,100.0,alta,0,despejado,mañana,con_incidente,nan,41.14,41.9,100.0
2082,2025-08-02,5,30,3,joaquin gorina,-34.86821,-57.934953,joaquin gorina; city bell,furgoneta,8,5.14,64.2,66,79,3,10.3,0.0,9.36,169,66,103,20,27,0,nan,0,100.0,baja,0,despejado,mañana,completa_ok,nan,19.57,64.2,100.0
2083,2025-09-11,3,36,1,abasto,-34.824686,-57.924721,abasto; el peligro; city bell,camion 3.5t,18,5.91,32.8,75,84,3,35.1,0.22,14.63,326,144,182,9,29,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,41.66,32.8,100.0
2084,2025-10-03,4,39,5,city bell,-34.874758,-57.980307,city bell; gonnet,camioneta,13,7.81,60.1,88,106,9,17.5,0.26,6.56,271,160,111,21,38,0,nan,0,100.0,media,0,nublado,mañana,con_incidente,nan,34.57,60.1,100.0
2085,2025-01-18,5,2,6,villa elvira,-34.89008,-57.950437,villa elvira; villa montoro; los hornos; melchor romero,camioneta,13,4.96,38.2,66,75,6,19.6,1.19,14.17,228,83,145,3,21,0,nan,1,98.67,media,1,despejado,mañana,parcial,devolver a depósito,29.01,38.2,98.67
2086,2025-07-06,6,27,1,villa montoro,-34.897847,-57.951919,villa montoro; villa elvira; la plata,furgoneta,8,7.84,98.0,56,69,4,14.4,0.87,8.64,187,100,87,2,33,0,nan,0,100.0,baja,1,nublado,mañana,con_incidente,nan,22.71,98.0,100.0
2087,2025-02-24,0,8,2,villa montoro,-34.90092,-57.947552,villa montoro; los hornos; la plata,furgoneta,8,5.42,67.8,88,108,11,31.6,0.42,36.46,256,52,194,8,20,1,otro,0,100.0,media,0,nublado,mañana,con_incidente,ruta replanificada,31.61,67.8,100.0
2088,2025-11-17,0,46,4,gonnet,-34.939181,-57.921318,gonnet; city bell; joaquin gorina,furgoneta,8,6.72,84.0,90,104,6,31.2,1.75,14.29,272,131,141,1,20,0,nan,1,99.04,baja,1,nublado,mañana,parcial,entrega parcial,34.73,84.0,99.04
2089,2025-11-26,2,47,2,tolosa,-34.919462,-57.954406,tolosa,camioneta,13,6.49,49.9,87,97,9,35.4,0.13,10.46,331,203,128,4,30,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,42.25,49.9,100.0
2090,2025-03-12,2,10,5,city bell,-34.8725,-57.979775,city bell; gonnet,furgoneta,8,5.35,66.9,68,85,4,11.0,1.33,22.84,167,31,160,8,5,0,nan,0,100.0,media,1,viento fuerte,mañana,parcial,devolver a depósito,23.11,66.9,100.0
2091,2025-12-09,1,49,2,ringuelet,-34.94678,-57.931627,ringuelet; tolosa,camioneta,13,3.0,23.1,80,97,8,21.6,2.81,9.32,316,139,177,3,25,0,nan,2,97.94,media,1,lluvia ligera,mañana,parcial,entrega parcial,38.27,23.1,97.94
2092,2025-12-21,6,51,2,melchor romero,-34.953134,-57.984149,melchor romero; lisandro olmos,camioneta,13,8.97,69.0,80,93,5,40.0,0.18,17.27,275,139,136,1,13,0,nan,1,98.92,media,1,nublado,mañana,parcial,contactar cliente,36.51,69.0,98.92
2093,2025-08-23,5,33,7,los hornos,-34.919472,-57.991624,los hornos,furgoneta,8,7.84,98.0,82,97,5,14.4,0.04,10.29,217,84,133,1,36,0,nan,0,100.0,alta,0,tormenta,mañana,completa_ok,nan,25.25,98.0,100.0
2094,2025-02-18,1,7,2,gonnet,-34.931753,-57.926532,gonnet; ringuelet,camioneta,13,6.65,51.2,72,83,6,11.7,2.29,8.89,192,79,113,2,39,0,nan,1,98.8,alta,1,despejado,mañana,parcial,contactar cliente,25.78,51.2,98.8
2095,2025-10-10,4,40,2,los hornos,-34.916954,-57.988257,los hornos; villa elvira; la plata,camioneta,13,6.16,47.4,71,83,7,17.1,1.11,30.18,147,34,113,3,28,0,nan,0,100.0,alta,0,despejado,mañana,completa_ok,nan,21.14,47.4,100.0
2096,2025-06-29,6,26,7,lisandro olmos,-34.801979,-57.899311,lisandro olmos; abasto,camioneta,13,3.83,29.5,86,100,10,29.6,2.52,11.31,320,157,163,5,27,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,41.05,29.5,100.0
2097,2025-05-17,5,19,7,villa montoro,-34.897526,-57.947529,villa montoro,furgoneta,8,7.84,98.0,66,81,3,28.9,0.86,11.96,234,145,89,2,23,0,nan,0,100.0,media,0,nublado,mañana,completa_ok,nan,30.51,98.0,100.0
