route_id,date,weekday,week_number,driver_id,origin_barrio,lat_origin,lon_origin,barrios_recorridos,tipo_vehiculo,vehicle_capacity_m3,volumen_cargado_m3,carga_pct,n_paradas,n_paquetes,cliente_top_count,km_total,desviacion_km,velocidad_media_kmh,duracion_min,tiempo_conduccion_min,tiempo_paradas_min,tiempo_espera_deposito_min,tiempo_carga_min,n_incidentes,motivo_incidente,paquetes_no_entregados,porcentaje_entregas_exitosas,prioridad,entregas_retrasadas,clima,turno,estado_ruta,notas_logisticas,costo_est_operativo
2010,2025-07-19,5,28,3,Tolosa,-34.924088,-57.953274,Tolosa; Manuel B. Gonnet; Ringuelet,Camioneta,13,6.54,50.3,64,68,7,16.1,0.5,7.85,200,123,77,5,24,0,nan,0,100.0,alta,0,Despejado,mañana,completa_ok,nan,24.95
2011,2025-12-31,2,52,6,City Bell,-34.877578,-57.976708,City Bell; Gonnet,Camioneta,13,4.08,31.4,84,98,5,20.8,0.0,249.6,229,5,234,2,14,0,nan,0,100.0,media,0,Lluvia ligera,mañana,completa_ok,nan,27.68
2012,2025-02-23,6,8,5,Manuel B. Gonnet,-34.923301,-57.923261,Manuel B. Gonnet; Gonnet,Furgoneta,8,2.33,29.1,84,95,2,21.5,0.95,10.75,268,120,148,21,30,0,nan,2,97.89,media,1,Despejado,mañana,parcial,Reintentar mañana,33.43
2013,2025-09-14,6,37,1,Joaquin Gorina,-34.874333,-57.944432,Joaquin Gorina; City Bell,Furgoneta,8,7.84,98.0,79,98,10,32.0,4.15,16.41,286,117,169,23,25,0,nan,0,100.0,alta,0,Nublado,mañana,con_incidente,nan,35.78
2014,2025-10-11,5,40,5,Tolosa,-34.923467,-57.949244,Tolosa; City Bell; Manuel B. Gonnet,Camioneta,13,7.54,58.0,81,102,9,30.2,0.16,8.43,357,215,142,8,35,0,nan,0,100.0,baja,1,Despejado,mañana,con_incidente,nan,43.01
2015,2025-06-24,1,25,4,Abasto,-34.818619,-57.91909,Abasto; La Plata,Furgoneta,8,5.58,69.8,86,111,7,25.2,0.15,22.91,262,66,196,1,32,0,nan,1,99.1,media,1,Nublado,mañana,parcial,Contactar cliente,32.41
2016,2025-12-09,1,49,7,City Bell,-34.875774,-57.983893,City Bell; Manuel B. Gonnet,Camioneta,13,7.34,56.5,68,77,4,26.9,0.3,17.35,225,93,132,13,28,0,nan,0,100.0,baja,0,Despejado,mañana,completa_ok,nan,29.52
2017,2025-02-01,5,4,7,Gonnet,-34.936482,-57.921603,Gonnet; Ringuelet,Camioneta,13,6.21,47.8,75,88,5,28.9,0.26,14.21,265,122,143,0,24,0,nan,0,100.0,alta,0,Despejado,mañana,con_incidente,nan,34.6
2018,2025-05-16,4,19,5,Villa Elisa,-34.915983,-57.988148,Villa Elisa; Tolosa,Camioneta,13,4.51,34.7,76,94,7,28.4,0.0,20.53,206,83,123,2,16,0,nan,0,100.0,media,0,Despejado,mañana,completa_ok,nan,26.1
2019,2025-11-28,4,47,4,Ringuelet,-34.944849,-57.93262,Ringuelet; Tolosa,Camion 3.5t,18,6.86,38.1,67,78,6,8.0,0.0,96.0,115,5,156,20,6,0,nan,2,97.44,media,1,Despejado,mañana,parcial,Reintentar mañana,16.75
2020,2025-04-04,4,13,1,La Plata,-34.918497,-57.951325,La Plata; Villa Elisa; City Bell,Camion 3.5t,18,6.23,34.6,78,93,6,22.7,1.67,8.9,257,153,104,8,22,0,nan,4,95.7,baja,1,Despejado,mañana,parcial,Reintentar mañana,31.1
2021,2025-08-26,1,34,5,Abasto,-34.822602,-57.924471,Abasto; El Peligro,Furgoneta,8,6.2,77.5,75,84,9,25.7,1.62,9.12,310,169,141,2,25,0,nan,1,98.81,baja,1,Lluvia ligera,mañana,parcial,Entrega parcial,39.94
2022,2025-07-03,3,26,4,La Plata,-34.921014,-57.948557,La Plata,Camioneta,13,10.46,80.5,69,88,3,30.0,0.0,94.74,187,19,168,5,23,0,nan,3,96.59,media,1,Despejado,mañana,parcial,Devolver a depósito,25.07
2023,2025-06-05,3,22,4,Lisandro Olmos,-34.805737,-57.897605,Lisandro Olmos; Melchor Romero,Furgoneta,8,7.84,98.0,83,100,4,33.4,0.68,13.36,324,150,174,1,38,0,nan,1,99.0,media,1,Nublado,mañana,parcial,Reintentar mañana,41.49
2024,2025-11-22,5,46,4,Gonnet,-34.932337,-57.92112,Gonnet; Manuel B. Gonnet; Ringuelet,Furgoneta,8,4.09,51.1,85,101,8,20.6,1.72,14.05,248,88,160,17,21,0,nan,1,99.01,media,1,Despejado,mañana,parcial,Devolver a depósito,33.08
2025,2025-01-20,0,3,2,Abasto,-34.821853,-57.912373,Abasto,Camion 3.5t,18,9.27,51.5,86,103,7,26.1,1.84,19.33,275,81,194,6,33,0,nan,0,100.0,media,0,Despejado,mañana,completa_ok,nan,36.4
2026,2025-08-12,1,32,6,Ringuelet,-34.946526,-57.934832,Ringuelet; Manuel B. Gonnet,Camioneta,13,4.05,31.2,75,83,7,14.2,1.5,23.03,244,37,207,11,18,0,nan,0,100.0,media,1,Despejado,mañana,con_incidente,nan,29.65
2027,2025-03-20,3,11,4,Ringuelet,-34.947021,-57.92643,Ringuelet; Gonnet,Furgoneta,8,4.98,62.3,89,101,9,16.6,1.26,7.17,259,139,120,22,26,0,nan,0,100.0,alta,0,Despejado,mañana,completa_ok,nan,30.46
2028,2025-05-27,1,21,2,City Bell,-34.869639,-57.986937,City Bell; Gonnet,Camioneta,13,4.94,38.0,68,75,3,13.7,1.75,35.25,150,24,145,27,28,0,nan,0,100.0,media,1,Despejado,mañana,parcial,Entrega parcial,22.86
2029,2025-01-25,5,3,1,City Bell,-34.874437,-57.974311,City Bell; Joaquin Gorina; Gonnet,Camion 3.5t,18,9.03,50.2,79,92,5,24.6,0.49,49.2,239,30,209,4,24,0,nan,1,98.91,media,1,Despejado,mañana,parcial,Reintentar mañana,30.24
2030,2025-03-25,1,12,7,Villa Elisa,-34.913486,-57.976606,Villa Elisa; La Plata,Camioneta,13,3.99,30.7,84,96,9,23.2,0.0,19.61,265,71,184,0,35,1,Otro,0,100.0,media,0,Tormenta,mañana,con_incidente,Incidente resuelto,33.02
2031,2025-03-10,0,10,6,La Plata,-34.920978,-57.953436,La Plata; Los Hornos,Camioneta,13,10.17,78.2,87,100,7,22.3,3.48,40.55,210,33,177,11,25,0,nan,2,98.0,media,1,Despejado,mañana,parcial,Reintentar mañana,28.18
2032,2025-05-30,4,21,3,Villa Elvira,-34.889559,-57.948133,Villa Elvira; Los Hornos,Furgoneta,8,3.85,48.1,74,85,7,26.9,0.0,26.9,264,60,204,11,27,0,nan,1,98.82,baja,1,Despejado,mañana,parcial,Reintentar mañana,32.57
2033,2025-11-06,3,44,7,Villa Montoro,-34.901689,-57.951035,Villa Montoro; Los Hornos; El Peligro,Furgoneta,8,5.36,67.0,76,94,6,29.1,0.63,11.96,339,146,193,1,12,0,nan,0,100.0,baja,1,Nublado,mañana,con_incidente,nan,42.27
2034,2025-06-29,6,26,3,Los Hornos,-34.917443,-57.994511,Los Hornos,Furgoneta,8,7.64,95.5,63,73,5,16.8,0.0,10.84,238,93,145,9,31,0,nan,1,98.63,media,1,Nublado,mañana,parcial,Devolver a depósito,28.03
2035,2025-11-09,6,45,3,City Bell,-34.874524,-57.973952,City Bell; Joaquin Gorina,Camioneta,13,8.19,63.0,72,89,6,15.3,0.0,6.85,260,134,126,8,18,0,nan,2,97.75,media,1,Despejado,mañana,parcial,Contactar cliente,33.48
2036,2025-08-07,3,31,7,City Bell,-34.870836,-57.978998,City Bell; Joaquin Gorina,Furgoneta,8,7.84,98.0,93,106,8,17.1,2.0,73.29,255,14,241,8,30,0,nan,1,99.06,baja,1,Despejado,mañana,parcial,Devolver a depósito,32.58
2037,2025-07-07,0,27,2,La Plata,-34.919671,-57.947599,La Plata; Centro; Gonnet; Ringuelet,Furgoneta,8,6.45,80.6,73,86,7,19.0,1.5,14.25,227,80,147,6,28,0,nan,1,98.84,media,1,Lluvia ligera,mañana,parcial,Contactar cliente,28.22
2038,2025-09-23,1,38,7,Berisso,-34.858569,-57.872628,Berisso; Villa Argüello,Furgoneta,8,5.46,68.2,71,80,5,19.1,0.11,229.2,186,5,191,8,20,0,nan,0,100.0,baja,0,Lluvia ligera,mañana,completa_ok,nan,25.06
2039,2025-05-01,3,17,1,La Plata,-34.921532,-57.95494,La Plata; Villa Elisa,Camioneta,13,6.06,46.6,85,106,2,41.9,0.0,16.99,255,148,107,34,13,0,nan,0,100.0,baja,0,Lluvia ligera,mañana,completa_ok,nan,33.17
2040,2025-04-03,3,13,7,Abasto,-34.820041,-57.915688,Abasto; Lisandro Olmos,Camion 3.5t,18,8.99,49.9,78,95,5,26.5,0.81,14.45,218,110,108,17,19,0,nan,0,100.0,media,0,Lluvia ligera,mañana,completa_ok,nan,27.29
2041,2025-05-17,5,19,4,Tolosa,-34.922293,-57.958347,Tolosa; La Plata; Gonnet; City Bell,Furgoneta,8,2.0,25.0,68,79,8,9.1,0.76,10.5,188,52,136,7,25,0,nan,0,100.0,media,0,Despejado,mañana,completa_ok,nan,22.87
2042,2025-06-08,6,23,3,El Carmen,-34.840109,-57.900424,El Carmen; Berisso; Villa Argüello,Furgoneta,8,7.84,98.0,68,77,2,18.8,0.0,15.89,184,71,113,0,31,0,nan,0,100.0,media,0,Tormenta,mañana,completa_ok,nan,23.98
2043,2025-02-03,0,5,7,Villa Elisa,-34.916374,-57.981658,Villa Elisa; La Plata; Tolosa,Furgoneta,8,3.99,49.9,63,75,8,28.0,1.81,23.01,187,73,114,8,27,0,nan,1,98.67,baja,1,Nublado,mañana,parcial,Contactar cliente,24.9
2044,2025-02-08,5,5,7,Lisandro Olmos,-34.802034,-57.901474,Lisandro Olmos,Furgoneta,8,5.61,70.1,70,74,5,19.8,1.15,13.66,203,87,116,18,15,0,nan,0,100.0,media,0,Despejado,mañana,completa_ok,nan,27.06
2045,2025-01-19,6,3,2,Melchor Romero,-34.948592,-57.983443,Melchor Romero; Tolosa,Camioneta,13,9.25,71.2,70,82,3,31.5,2.21,19.09,194,99,85,20,17,1,Otro,2,97.56,baja,1,Nublado,mañana,con_incidente,Entrega parcial,28.26
2046,2025-08-08,4,31,6,Villa Elvira,-34.889606,-57.953921,Villa Elvira,Furgoneta,8,5.05,63.1,81,88,5,28.8,0.0,246.86,192,7,185,0,23,0,nan,0,100.0,media,0,Nublado,mañana,completa_ok,nan,25.84
2047,2025-06-04,2,22,3,City Bell,-34.870047,-57.977538,City Bell; Gonnet; Manuel B. Gonnet,Camion 3.5t,18,6.68,37.1,78,87,2,19.3,0.0,21.1,221,60,189,6,22,0,nan,0,100.0,baja,0,Despejado,mañana,con_incidente,nan,30.82
2048,2025-11-06,3,44,6,Tolosa,-34.921059,-57.950501,Tolosa; Gonnet; Manuel B. Gonnet,Furgoneta,8,7.48,93.5,73,84,7,20.4,2.02,15.49,280,79,201,16,38,0,nan,0,100.0,media,1,Nublado,mañana,con_incidente,nan,33.65
2049,2025-08-27,2,34,3,Villa Montoro,-34.895448,-57.950129,Villa Montoro; Los Hornos,Furgoneta,8,6.05,75.6,85,96,8,27.9,0.0,11.79,287,142,145,0,24,0,nan,0,100.0,alta,0,Despejado,mañana,con_incidente,nan,33.65
2050,2025-07-10,3,27,7,City Bell,-34.873482,-57.976968,City Bell; Joaquin Gorina,Camioneta,13,6.29,48.4,78,88,8,22.8,0.7,17.27,236,90,195,5,36,0,nan,0,100.0,media,1,Despejado,mañana,con_incidente,nan,34.59
2051,2025-12-31,2,52,1,Altos de San Lorenzo,-34.918575,-57.948612,Altos de San Lorenzo; Joaquin Gorina,Camioneta,13,6.25,48.1,76,103,7,35.9,0.34,14.86,340,145,195,3,5,0,nan,0,100.0,baja,1,Lluvia ligera,mañana,con_incidente,nan,41.74
2052,2025-11-06,3,44,6,Melchor Romero,-34.949892,-57.981106,Melchor Romero; Villa Elvira; Villa Montoro,Furgoneta,8,7.7,96.2,83,96,4,27.1,0.4,325.2,207,5,219,9,34,0,nan,2,97.92,baja,1,Despejado,mañana,parcial,Devolver a depósito,26.73
2053,2025-07-08,1,27,1,Tolosa,-34.920832,-57.95001,Tolosa; Manuel B. Gonnet; Gonnet,Camioneta,13,7.83,60.2,77,92,8,9.0,1.47,4.21,247,144,122,20,36,0,nan,0,100.0,media,1,Lluvia ligera,mañana,con_incidente,nan,29.93
2054,2025-09-06,5,35,5,Villa Elvira,-34.892779,-57.946622,Villa Elvira; La Plata,Camioneta,13,2.38,18.3,94,106,5,28.9,1.16,9.48,341,183,158,10,19,0,nan,0,100.0,alta,1,Despejado,mañana,con_incidente,nan,40.9
2055,2025-08-30,5,34,4,Gonnet,-34.931981,-57.923847,Gonnet; Ringuelet; Lisandro Olmos,Camioneta,13,4.31,33.2,85,109,8,23.7,0.19,11.11,268,128,140,22,42,0,nan,2,98.17,baja,1,Despejado,mañana,parcial,Devolver a depósito,33.25
2056,2025-12-25,3,51,5,Los Hornos,-34.91477,-57.988925,Los Hornos; Melchor Romero; La Plata,Camioneta,13,7.16,55.1,83,98,12,23.5,0.96,7.79,302,181,121,14,32,0,nan,1,98.98,media,1,Despejado,mañana,parcial,Reintentar mañana,37.35
2057,2025-06-28,5,25,6,Abasto,-34.819558,-57.922832,Abasto; El Peligro,Furgoneta,8,5.07,63.4,85,104,9,19.1,0.52,34.73,211,33,178,1,18,0,nan,3,97.12,media,1,Despejado,mañana,parcial,Devolver a depósito,25.7
2058,2025-09-22,0,38,1,El Carmen,-34.837799,-57.900406,El Carmen; Villa San Carlos,Furgoneta,8,6.82,85.2,83,93,9,21.3,1.12,29.72,264,43,221,0,10,0,nan,1,98.92,media,1,Despejado,mañana,parcial,Entrega parcial,34.37
2059,2025-03-01,5,8,4,La Plata,-34.921305,-57.950483,La Plata; Los Hornos,Furgoneta,8,7.84,98.0,88,108,9,30.4,0.39,76.0,239,24,215,6,26,0,nan,0,100.0,media,0,Nublado,mañana,completa_ok,nan,29.45
2060,2025-02-03,0,5,4,Villa Elisa,-34.911727,-57.978761,Villa Elisa; City Bell; Tolosa,Furgoneta,8,6.1,76.2,74,91,2,14.1,1.93,12.44,189,68,121,4,33,0,nan,0,100.0,media,0,Despejado,mañana,completa_ok,nan,25.6
2061,2025-06-20,4,24,3,Gonnet,-34.93416,-57.926589,Gonnet; Ringuelet,Furgoneta,8,7.04,88.0,73,85,6,27.0,0.08,13.61,253,119,134,0,29,0,nan,0,100.0,alta,0,Despejado,mañana,con_incidente,nan,32.23
2062,2025-06-11,2,23,6,Ringuelet,-34.943217,-57.932127,Ringuelet; Tolosa,Camioneta,13,3.31,25.5,99,114,12,24.8,2.03,9.99,288,149,139,3,25,0,nan,0,100.0,media,0,Lluvia ligera,mañana,completa_ok,nan,34.1
2063,2025-05-04,6,18,6,City Bell,-34.873786,-57.981389,City Bell; Gonnet,Furgoneta,8,5.33,66.6,63,76,9,19.7,1.58,21.49,185,55,130,5,28,0,nan,0,100.0,media,0,Despejado,mañana,completa_ok,nan,23.12
2064,2025-05-19,0,20,4,Los Hornos,-34.920002,-57.995383,Los Hornos; Villa Elvira,Camion 3.5t,18,7.87,43.7,76,86,3,20.8,0.0,6.64,312,188,124,16,36,0,nan,1,98.84,media,1,Lluvia ligera,mañana,parcial,Devolver a depósito,36.71
2065,2025-04-30,2,17,7,La Plata,-34.919478,-57.94969,La Plata; Villa Elisa; City Bell,Camioneta,13,5.41,41.6,77,84,7,14.3,1.79,10.73,207,80,117,3,32,1,Otro,0,100.0,media,0,Nublado,mañana,con_incidente,Incidente resuelto,25.71
2066,2025-10-26,6,43,4,Berisso,-34.855532,-57.870731,Berisso; El Carmen,Camion 3.5t,18,5.99,33.3,82,94,8,39.7,0.0,12.47,425,180,194,1,15,0,nan,2,97.87,media,1,Despejado,mañana,parcial,Contactar cliente,47.99
2067,2025-08-01,4,30,2,Tolosa,-34.923843,-57.954167,Tolosa; La Plata,Furgoneta,8,4.49,56.1,82,95,2,32.1,0.0,20.27,314,95,219,3,10,0,nan,0,100.0,alta,1,Nublado,mañana,con_incidente,nan,37.51
2068,2025-04-09,2,14,5,City Bell,-34.87254,-57.975586,City Bell; Joaquin Gorina,Camioneta,13,7.43,57.2,74,89,5,15.0,0.0,180.0,148,5,168,14,19,0,nan,1,98.88,alta,1,Despejado,mañana,parcial,Devolver a depósito,20.43
2069,2025-02-12,2,6,2,Abasto,-34.822362,-57.92553,Abasto; Lisandro Olmos,Camioneta,13,6.16,47.4,78,89,6,31.7,0.0,16.83,276,113,163,11,38,0,nan,1,98.88,alta,1,Despejado,mañana,parcial,Contactar cliente,37.33
2070,2025-03-29,5,12,4,Altos de San Lorenzo,-34.927361,-57.948662,Altos de San Lorenzo; Villa Elisa; Abasto,Furgoneta,8,7.52,94.0,76,95,3,41.1,1.17,13.78,282,179,103,0,34,0,nan,3,96.84,media,1,Despejado,mañana,parcial,Devolver a depósito,36.72
2071,2025-06-03,1,22,6,Villa Elvira,-34.891576,-57.948187,Villa Elvira; La Plata,Camioneta,13,6.16,47.4,76,88,3,23.3,1.37,8.42,296,166,130,3,42,0,nan,1,98.86,media,1,Tormenta,mañana,parcial,Entrega parcial,37.21
2072,2025-03-02,6,9,1,Ringuelet,-34.947728,-57.922864,Ringuelet; Manuel B. Gonnet,Camioneta,13,4.2,32.3,87,100,4,17.5,2.06,131.25,227,8,219,2,27,0,nan,0,100.0,media,0,Tormenta,mañana,completa_ok,nan,27.74
2073,2025-04-29,1,17,7,Villa Montoro,-34.898341,-57.952763,Villa Montoro; Ringuelet; Gonnet; City Bell,Furgoneta,8,7.84,98.0,79,92,6,28.9,0.0,16.67,303,104,199,0,34,0,nan,0,100.0,media,1,Despejado,mañana,con_incidente,nan,36.63
2074,2025-07-29,1,30,5,Ringuelet,-34.945831,-57.929169,Ringuelet; Gonnet,Camioneta,13,5.26,40.5,73,80,6,11.1,0.38,6.87,219,97,122,2,16,0,nan,0,100.0,media,0,Despejado,mañana,con_incidente,nan,26.6
2075,2025-03-14,4,10,3,Gonnet,-34.934615,-57.924223,Gonnet; City Bell,Camioneta,13,8.02,61.7,74,83,9,21.1,0.0,20.03,231,65,192,1,31,0,nan,0,100.0,media,1,Despejado,mañana,parcial,Reintentar mañana,31.42
2076,2025-04-29,1,17,3,Joaquin Gorina,-34.875125,-57.937336,Joaquin Gorina; City Bell,Camioneta,13,5.2,40.0,86,99,10,20.5,1.78,34.17,273,36,237,10,21,0,nan,0,100.0,media,0,Despejado,mañana,con_incidente,nan,34.42
2077,2025-05-04,6,18,2,Villa Montoro,-34.898057,-57.94933,Villa Montoro; Villa Elvira,Camioneta,13,7.65,58.8,83,93,7,22.2,1.05,15.49,276,86,190,1,21,0,nan,2,97.85,media,1,Nublado,mañana,parcial,Devolver a depósito,33.75
2078,2025-05-13,1,19,5,Gonnet,-34.938697,-57.925149,Gonnet; Manuel B. Gonnet; Ringuelet,Camion 3.5t,18,6.88,38.2,88,103,6,23.2,1.05,7.29,355,191,164,0,41,0,nan,0,100.0,media,1,Viento fuerte,mañana,con_incidente,nan,44.05
2079,2025-11-03,0,44,3,City Bell,-34.87352,-57.974447,City Bell; Joaquin Gorina; Gonnet,Furgoneta,8,4.43,55.4,76,92,4,31.3,0.53,58.69,198,32,166,0,23,0,nan,1,98.91,alta,1,Viento fuerte,mañana,parcial,Contactar cliente,26.7
2080,2025-04-04,4,13,4,Tolosa,-34.917897,-57.952331,Tolosa; Villa Montoro; Villa Elvira,Camioneta,13,6.14,47.2,83,111,7,33.9,2.42,19.37,331,105,226,2,22,0,nan,0,100.0,media,1,Nublado,mañana,con_incidente,nan,42.56
2081,2025-08-03,6,31,3,El Peligro,-34.831318,-57.910858,El Peligro; Abasto,Camion 3.5t,18,7.54,41.9,89,102,8,34.1,0.0,9.98,324,205,119,5,30,0,nan,0,100.0,alta,0,Despejado,mañana,con_incidente,nan,41.14
2082,2025-08-02,5,30,3,Joaquin Gorina,-34.86821,-57.934953,Joaquin Gorina; City Bell,Furgoneta,8,5.14,64.2,66,79,3,10.3,0.0,9.36,169,66,103,20,27,0,nan,0,100.0,baja,0,Despejado,mañana,completa_ok,nan,19.57
2083,2025-09-11,3,36,1,Abasto,-34.824686,-57.924721,Abasto; El Peligro; City Bell,Camion 3.5t,18,5.91,32.8,75,84,3,35.1,0.22,14.63,326,144,182,9,29,0,nan,0,100.0,media,1,Despejado,mañana,con_incidente,nan,41.66
2084,2025-10-03,4,39,5,City Bell,-34.874758,-57.980307,City Bell; Gonnet,Camioneta,13,7.81,60.1,88,106,9,17.5,0.26,6.56,271,160,111,21,38,0,nan,0,100.0,media,0,Nublado,mañana,con_incidente,nan,34.57
2085,2025-01-18,5,2,6,Villa Elvira,-34.89008,-57.950437,Villa Elvira; Villa Montoro; Los Hornos; Melchor Romero,Camioneta,13,4.96,38.2,66,75,6,19.6,1.19,14.17,228,83,145,3,21,0,nan,1,98.67,media,1,Despejado,mañana,parcial,Devolver a depósito,29.01
2086,2025-07-06,6,27,1,Villa Montoro,-34.897847,-57.951919,Villa Montoro; Villa Elvira; La Plata,Furgoneta,8,7.84,98.0,56,69,4,14.4,0.87,8.64,187,100,87,2,33,0,nan,0,100.0,baja,1,Nublado,mañana,con_incidente,nan,22.71
2087,2025-02-24,0,8,2,Villa Montoro,-34.90092,-57.947552,Villa Montoro; Los Hornos; La Plata,Furgoneta,8,5.42,67.8,88,108,11,31.6,0.42,36.46,256,52,194,8,20,1,Otro,0,100.0,media,0,Nublado,mañana,con_incidente,Ruta replanificada,31.61
2088,2025-11-17,0,46,4,Gonnet,-34.939181,-57.921318,Gonnet; City Bell; Joaquin Gorina,Furgoneta,8,6.72,84.0,90,104,6,31.2,1.75,14.29,272,131,141,1,20,0,nan,1,99.04,baja,1,Nublado,mañana,parcial,Entrega parcial,34.73
2089,2025-11-26,2,47,2,Tolosa,-34.919462,-57.954406,Tolosa,Camioneta,13,6.49,49.9,87,97,9,35.4,0.13,10.46,331,203,128,4,30,0,nan,0,100.0,media,1,Despejado,mañana,con_incidente,nan,42.25
2090,2025-03-12,2,10,5,City Bell,-34.8725,-57.979775,City Bell; Gonnet,Furgoneta,8,5.35,66.9,68,85,4,11.0,1.33,22.84,167,31,160,8,5,0,nan,0,100.0,media,1,Viento fuerte,mañana,parcial,Devolver a depósito,23.11
2091,2025-12-09,1,49,2,Ringuelet,-34.94678,-57.931627,Ringuelet; Tolosa,Camioneta,13,3.0,23.1,80,97,8,21.6,2.81,9.32,316,139,177,3,25,0,nan,2,97.94,media,1,Lluvia ligera,mañana,parcial,Entrega parcial,38.27
2092,2025-12-21,6,51,2,Melchor Romero,-34.953134,-57.984149,Melchor Romero; Lisandro Olmos,Camioneta,13,8.97,69.0,80,93,5,40.0,0.18,17.27,275,139,136,1,13,0,nan,1,98.92,media,1,Nublado,mañana,parcial,Contactar cliente,36.51
2093,2025-08-23,5,33,7,Los Hornos,-34.919472,-57.991624,Los Hornos,Furgoneta,8,7.84,98.0,82,97,5,14.4,0.04,10.29,217,84,133,1,36,0,nan,0,100.0,alta,0,Tormenta,mañana,completa_ok,nan,25.25
2094,2025-02-18,1,7,2,Gonnet,-34.931753,-57.926532,Gonnet; Ringuelet,Camioneta,13,6.65,51.2,72,83,6,11.7,2.29,8.89,192,79,113,2,39,0,nan,1,98.8,alta,1,Despejado,mañana,parcial,Contactar cliente,25.78
2095,2025-10-10,4,40,2,Los Hornos,-34.916954,-57.988257,Los Hornos; Villa Elvira; La Plata,Camioneta,13,6.16,47.4,71,83,7,17.1,1.11,30.18,147,34,113,3,28,0,nan,0,100.0,alta,0,Despejado,mañana,completa_ok,nan,21.14
2096,2025-06-29,6,26,7,Lisandro Olmos,-34.801979,-57.899311,Lisandro Olmos; Abasto,Camioneta,13,3.83,29.5,86,100,10,29.6,2.52,11.31,320,157,163,5,27,0,nan,0,100.0,media,1,Despejado,mañana,con_incidente,nan,41.05
2097,2025-05-17,5,19,7,Villa Montoro,-34.897526,-57.947529,Villa Montoro,Furgoneta,8,7.84,98.0,66,81,3,28.9,0.86,11.96,234,145,89,2,23,0,nan,0,100.0,media,0,Nublado,mañana,completa_ok,nan,30.51
2098,2025-03-01,5,8,2,City Bell,-34.873607,-57.967525,City Bell; Joaquin Gorina,Camioneta,13,7.17,55.2,87,97,5,23.9,0.0,45.71,228,34,212,5,30,1,nan,0,100.0,baja,1,Despejado,mañana,parcial,Entrega parcial,29.51
